date,Bull Ranch,time,goring,injury,firstAid,pavement
7/14/04,Juan Pedro Domecq,2.35,1,3,17,Dry
7/7/05,Santiago Domecq Bohorquez,2.52,NA,2,15,Dry
7/8/05,Cebada Gago,2.3,NA,2,12,Dry
7/9/05,Dolores Aguirre,3,4,2,31,Dry
7/10/05,Miura,2.51,NA,4,42,Dry
7/11/05,Jandilla,5.33,4,7,50,Dry
7/12/05,Juan Pedro Domecq,2.51,NA,2,27,Dry
7/13/05,Fuente Ymbro,2.34,NA,4,37,Dry
7/14/05,Victorino Martin,2.15,NA,2,24,Dry
7/7/06,Marques de Domecq,3.23,2,5,24,Dry
7/8/06,Dolores Aguirre,3.22,NA,1,25,Dry
7/9/06,Miura,2.13,1,1,24,Dry
7/10/06,Cebada Gago,2.32,1,1,12,Dry
7/11/06,Osborne,2.15,NA,1,16,Dry
7/12/06,Alcurrucen,2.19,NA,2,22,Dry
7/13/06,Fuente Ymbro,2.3,1,5,23,Dry
7/14/06,Victorino Martin,2.21,NA,6,27,Dry
7/7/07,Dolores Aguirre,2.4,1,3,Not available,Dry
7/8/07,Miura,3.36,1,8,76,Dry
7/9/07,Fuente Ymbro,2.46,NA,7,47,Dry
7/10/07,Cebada Gago,2.3,NA,4,44,Dry
7/11/07,Jandilla,3,1,5,18,Dry
7/12/07,Marques de Domecq,6.1,7,6,41,Dry
7/13/07,Antonio Banuelos,2.42,NA,4,57,Dry
7/14/07,Victorino Martin,2.5,1,4,17,Dry
7/7/08,Conde de la Corte,4.2,NA,13,64,Dry
7/8/08,Cebada Gago,2.23,1,4,29,Dry
7/9/08,Fuente Ymbro,3.42,1,1,26,Dry
7/10/08,El Ventorrillo,2.41,1,6,48,Dry
7/11/08,Jandilla,2.36,NA,1,31,Dry
7/12/08,Dolores Aguirre,3.02,1,4,33,Dry
7/13/08,Miura,2.52,NA,8,52,Dry
7/14/08,Nunez del Cuvillo,2.37,NA,5,23,Dry
7/7/09,Alcurrucen,2.3,NA,4,21,Dry
7/8/09,Cebada Gago,2.35,1,2,26,Dry
7/9/09,El Ventorrillo,2.21,NA,7,52,Dry
7/10/09,Jandilla,4.28,4,8,61,Dry
7/11/09,Dolores Aguirre,2.52,NA,4,37,Dry
7/12/09,Miura,5,5,6,52,Dry
7/13/09,Fuente Ymbro,2.23,NA,3,33,Dry
7/14/09,Nunez del Cuvillo,2.21,NA,4,34,Dry
7/7/10,Penajara,2.23,NA,2,26,Dry
7/8/10,Cebada Gago,3.3,2,5,29,Dry
7/9/10,Fuente Ymbro,6.23,1,2,40,Dry
7/10/10,Dolores Aguirre,2.53,NA,4,27,Dry
